hoc_ky,ma_mon_hoc,ma_lop,so_tin_chi,ma_giang_vien,thu,tiet_bat_dau,tiet_ket_thuc,cach_tuan,ngay_bat_dau,ngay_ket_thuc,phong_hoc,si_so,hinh_thuc_giang_day,ghi_chu
2023_2024_1,DS102,DS102.O11.CNVN.2,1,*,4,6,0,2,2023-09-23,2023-12-21,,,HT1,
2023_2024_1,IE307,IE307.O12.CNCL.1,1,*,4,1,5,2,2023-09-16,2023-12-14,,,HT1,
2023_2024_1,IE307,IE307.O12.CNCL.2,1,*,4,1,5,2,2023-09-23,2023-12-21,,,HT1,
2023_2024_1,DS101,DS101.O11.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,DS104,DS104.O11.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,DS310,DS310.O11.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,DS317,DS317.O11.1,1,*,*,,,1,2023-09-09,2023-12-14,*,,HT2,
2023_2024_1,IE101,IE101.O11.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,IE101,IE101.O12.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,IE105,IE105.O11.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,IE105,IE105.O11.CNVN.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,IE105,IE105.O12.CNVN.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,IE105,IE105.O13.CNVN.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,IE106,IE106.O11.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,IE106,IE106.O11.CNVN.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,IE106,IE106.O12.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,IE106,IE106.O12.CNVN.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,IE212,IE212.O11.CNCL.1,1,*,6,,,2,2023-09-16,2023-12-14,*,,HT1,
2023_2024_1,IE212,IE212.O11.CNCL.2,1,*,6,,,2,2023-09-23,2023-12-21,*,,HT1,
2023_2024_1,IE212,IE212.O12.CNCL.1,1,*,6,,,2,2023-09-16,2023-12-14,*,,HT1,
2023_2024_1,IE212,IE212.O12.CNCL.2,1,*,6,,,2,2023-09-23,2023-12-21,*,,HT1,
2023_2024_1,IE212,IE212.O13.CNCL.1,1,*,6,,,2,2023-09-16,2023-12-14,*,,HT1,
2023_2024_1,IE212,IE212.O13.CNCL.2,1,*,6,,,2,2023-09-23,2023-12-21,*,,HT1,
2023_2024_1,IE224,IE224.O11.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,IE224,IE224.O11.CNCL.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,IE402,IE402.O11.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,IE402,IE402.O11.CNCL.1,1,*,*,,,1,2023-09-09,2023-12-21,*,,HT2,
2023_2024_1,DS106,DS106.O11.1,1,*,7,6,0,2,2023-09-16,2023-12-14,B2.16,,HT1,
2023_2024_1,DS106,DS106.O11.2,1,*,7,6,0,2,2023-09-23,2023-12-21,B2.16,,HT1,
2023_2024_1,IE212,IE212.O11.1,1,*,4,1,5,2,2023-09-16,2023-12-14,B2.18,,HT1,
2023_2024_1,IE212,IE212.O11.2,1,*,4,1,5,2,2023-09-23,2023-12-21,B2.18,,HT1,
2023_2024_1,IE103,IE103.O11.1,1,*,4,1,5,2,2023-09-16,2023-12-14,B2.20,,HT1,
2023_2024_1,IE103,IE103.O11.2,1,*,4,1,5,2,2023-09-23,2023-12-21,B2.20,,HT1,
2023_2024_1,IE212,IE212.O11.3,1,*,6,6,0,2,2023-09-16,2023-12-14,B2.20,,HT1,
2023_2024_1,IE212,IE212.O11.4,1,*,6,6,0,2,2023-09-23,2023-12-21,B2.20,,HT1,
2023_2024_1,DS201,DS201.O11.1,1,*,3,6,0,2,2023-09-16,2023-12-14,B3.02,,HT1,
2023_2024_1,DS201,DS201.O11.2,1,*,3,6,0,2,2023-09-23,2023-12-21,B3.02,,HT1,
2023_2024_1,DS105,DS105.O11.1,1,*,5,1,5,2,2023-09-16,2023-12-14,B3.04,,HT1,
2023_2024_1,DS105,DS105.O11.2,1,*,5,1,5,2,2023-09-23,2023-12-21,B3.04,,HT1,
2023_2024_1,DS300,DS300.O11.1,1,*,5,6,0,2,2023-09-16,2023-12-14,B3.04,,HT1,
2023_2024_1,DS300,DS300.O11.2,1,*,5,6,0,2,2023-09-23,2023-12-21,B3.04,,HT1,
2023_2024_1,IE104,IE104.O12.CNVN.1,1,*,2,1,5,2,2023-09-16,2023-12-14,B3.06,,HT1,
2023_2024_1,IE104,IE104.O12.CNVN.2,1,*,2,1,5,2,2023-09-23,2023-12-21,B3.06,,HT1,
2023_2024_1,IE307,IE307.O13.CNCL.1,1,*,5,6,0,2,2023-09-16,2023-12-14,B4.02,,HT1,
2023_2024_1,IE307,IE307.O13.CNCL.2,1,*,5,6,0,2,2023-09-23,2023-12-21,B4.02,,HT1,
2023_2024_1,DS102,DS102.O12.CNVN.1,1,*,5,1,5,2,2023-09-16,2023-12-14,B4.04,,HT1,
2023_2024_1,DS102,DS102.O12.CNVN.2,1,*,5,1,5,2,2023-09-23,2023-12-21,B4.04,,HT1,
2023_2024_1,DS102,DS102.O13.CNVN.1,1,*,2,1,5,2,2023-09-16,2023-12-14,B4.04,,HT1,
2023_2024_1,DS102,DS102.O13.CNVN.2,1,*,2,1,5,2,2023-09-23,2023-12-21,B4.04,,HT1,
2023_2024_1,IE104,IE104.O11.CNVN.1,1,*,4,6,0,2,2023-09-16,2023-12-14,B4.04,,HT1,
2023_2024_1,IE104,IE104.O11.CNVN.2,1,*,4,6,0,2,2023-09-23,2023-12-21,B4.04,,HT1,
2023_2024_1,IE104,IE104.O13.CNVN.1,1,*,4,1,5,2,2023-09-16,2023-12-14,B4.04,,HT1,
2023_2024_1,IE104,IE104.O13.CNVN.2,1,*,4,1,5,2,2023-09-23,2023-12-21,B4.04,,HT1,
2023_2024_1,IE307,IE307.O11.CNCL.1,1,*,4,6,0,2,2023-09-16,2023-12-14,B4.06,,HT1,
2023_2024_1,IE307,IE307.O11.CNCL.2,1,*,4,6,0,2,2023-09-23,2023-12-21,B4.06,,HT1,
2023_2024_1,IE104,IE104.O11.1,1,*,3,6,0,2,2023-09-16,2023-12-14,B5.02,,HT1,
2023_2024_1,IE104,IE104.O11.2,1,*,3,6,0,2,2023-09-23,2023-12-21,B5.02,,HT1,
2023_2024_1,IE307,IE307.O11.1,1,*,6,6,0,2,2023-09-16,2023-12-14,B5.02,,HT1,
2023_2024_1,IE307,IE307.O11.2,1,*,6,6,0,2,2023-09-23,2023-12-21,B5.02,,HT1,
2023_2024_1,IE103,IE103.O12.1,1,*,6,6,0,2,2023-09-16,2023-12-14,B5.04,,HT1,
2023_2024_1,IE103,IE103.O12.2,1,*,6,6,0,2,2023-09-23,2023-12-21,B5.04,,HT1,
2023_2024_1,IE230,IE230.O11.CNCL,2,*,3,1,4,1,2023-09-02,2023-12-21,B5.14,,HT1,
2023_2024_1,IT001,IT001.O11.TTNT,3,*,5,6,9,1,2023-09-09,2024-01-04,B3.10,,LT,
2023_2024_1,IT001,IT001.O114,3,*,4,6,9,1,2023-09-09,2024-01-04,B3.14,,LT,
2023_2024_1,IT001,IT001.O118,3,*,5,6,9,1,2023-09-09,2024-01-04,B3.16,,LT,
2023_2024_1,IT001,IT001.O119,3,*,5,1,4,1,2023-09-09,2024-01-04,B3.16,,LT,
2023_2024_1,IT001,IT001.O121,3,*,6,1,4,1,2023-09-09,2024-01-04,B3.16,,LT,
2023_2024_1,IT001,IT001.O123,3,*,6,6,9,1,2023-09-09,2024-01-04,B3.16,,LT,
2023_2024_1,IT001,IT001.O120,3,*,5,1,4,1,2023-09-09,2024-01-04,B3.18,,LT,
2023_2024_1,IT001,IT001.O122,3,*,6,1,4,1,2023-09-09,2024-01-04,B3.18,,LT,
2023_2024_1,IT001,IT001.O124,3,*,6,6,9,1,2023-09-09,2024-01-04,B3.18,,LT,
2023_2024_1,IT001,IT001.O116,3,*,5,1,4,1,2023-09-09,2024-01-04,B3.20,,LT,
2023_2024_1,IT001,IT001.O113,3,*,4,1,4,1,2023-09-09,2024-01-04,B4.16,,LT,
2023_2024_1,IT001,IT001.O115,3,*,4,6,9,1,2023-09-09,2024-01-04,B4.16,,LT,
2023_2024_1,IT001,IT001.O117,3,*,5,1,4,1,2023-09-09,2024-01-04,B4.16,,LT,
2023_2024_1,IT001,IT001.O19,3,*,3,6,9,1,2023-09-09,2024-01-04,B4.16,,LT,
2023_2024_1,IT001,IT001.O111,3,*,4,1,4,1,2023-09-09,2024-01-04,B4.18,,LT,
2023_2024_1,IT001,IT001.O18,3,*,3,6,9,1,2023-09-09,2024-01-04,B4.18,,LT,
2023_2024_1,IT001,IT001.O11,3,*,2,1,4,1,2023-09-09,2024-01-04,B4.20,,LT,
2023_2024_1,IT001,IT001.O112,3,*,4,1,4,1,2023-09-09,2024-01-04,B4.20,,LT,
2023_2024_1,IT001,IT001.O127,3,*,5,6,9,2,2023-09-04,2024-01-04,B4.20,,LT,
2023_2024_1,IT001,IT001.O13,3,*,2,6,9,1,2023-09-09,2024-01-04,B4.20,,LT,
2023_2024_1,IT001,IT001.O16,3,*,3,6,9,1,2023-09-09,2024-01-04,B4.20,,LT,
2023_2024_1,IT001,IT001.O17,3,*,3,1,4,1,2023-09-09,2024-01-04,B4.20,,LT,
2023_2024_1,IT001,IT001.O12,3,*,2,1,4,1,2023-09-09,2024-01-04,B4.22,,LT,
2023_2024_1,IT001,IT001.O14,3,*,2,6,9,1,2023-09-09,2024-01-04,B4.22,,LT,
2023_2024_1,IT001,IT001.O15,3,*,3,1,4,1,2023-09-09,2024-01-04,B4.22,,LT,
2023_2024_1,IT001,IT001.O110,3,*,4,6,9,1,2023-09-09,2024-01-04,B5.10,,LT,
2023_2024_1,IT001,IT001.O11.CLC,3,*,5,1,3,1,2023-09-04,2023-11-23,B6.02,,LT,
2023_2024_1,IT001,IT001.O11.CTTN,3,*,2,6,9,1,2023-09-09,2023-12-28,B6.02,,LT,
2023_2024_1,IT001,IT001.O11.CNVN,3,*,6,2,5,1,2023-09-09,2023-12-28,C311,,LT,
2023_2024_1,IT001,IT001.O12.CNVN,3,*,4,2,5,1,2023-09-09,2023-12-28,C311,,LT,
2023_2024_1,IT002,IT002.O12.CLC,3,*,7,1,4,1,2023-09-04,2023-11-23,B1.10,,LT,
2023_2024_1,IT002,IT002.O11,3,*,2,1,4,1,2023-09-04,2023-12-28,B1.22,,LT,
2023_2024_1,IT002,IT002.O13,3,*,4,6,9,1,2023-09-04,2023-12-28,B1.22,,LT,
2023_2024_1,IT002,IT002.O12,3,*,3,1,4,1,2023-09-04,2023-12-28,B5.10,,LT,
2023_2024_1,IT002,IT002.O11.CTTN,3,*,3,1,4,1,2023-09-04,2023-11-23,B6.02,,LT,
2023_2024_1,IT002,IT002.O11.CLC,3,*,2,1,4,1,2023-09-04,2023-11-23,E32,,LT,
2023_2024_1,IT003,IT003.O11.CLC,3,*,3,6,8,1,2023-09-04,2023-11-23,B1.10,,LT,
2023_2024_1,IT003,IT003.O12.CLC,3,*,3,6,8,1,2023-09-04,2023-11-23,B1.18,,LT,
2023_2024_1,IT003,IT003.O13,3,*,4,6,9,1,2023-09-04,2023-12-28,B1.20,,LT,
2023_2024_1,IT003,IT003.O11,3,*,2,1,4,1,2023-09-04,2023-12-28,B3.22,,LT,
2023_2024_1,IT003,IT003.O14,3,*,5,6,9,1,2023-09-04,2023-12-28,B3.22,,LT,
2023_2024_1,IT003,IT003.O15,3,*,6,6,9,1,2023-09-04,2023-12-28,B3.22,,LT,
2023_2024_1,IT003,IT003.O12,3,*,3,6,9,1,2023-09-04,2023-12-28,B4.22,,LT,
2023_2024_1,IT004,IT004.O13.CLC,3,*,6,6,9,1,2023-09-04,2023-11-23,B1.10,,LT,
2023_2024_1,IT004,IT004.O17,3,*,3,1,4,1,2023-09-04,2023-12-28,B3.14,,LT,
2023_2024_1,IT004,IT004.O18,3,*,3,6,9,1,2023-09-04,2023-12-28,B3.14,,LT,
2023_2024_1,IT004,IT004.O110,3,*,4,1,4,1,2023-09-04,2023-12-28,B3.22,,LT,
2023_2024_1,IT004,IT004.O112,3,*,4,6,9,1,2023-09-04,2023-12-28,B3.22,,LT,
2023_2024_1,IT004,IT004.O19,3,*,3,6,9,1,2023-09-04,2023-12-28,B3.22,,LT,
2023_2024_1,IT004,IT004.O11,3,*,2,1,4,1,2023-09-04,2023-12-28,B4.14,,LT,
2023_2024_1,IT004,IT004.O115,3,*,5,1,4,1,2023-09-04,2023-12-28,B4.14,,LT,
2023_2024_1,IT004,IT004.O119,3,*,6,1,4,1,2023-09-04,2023-12-28,B4.14,,LT,
2023_2024_1,IT004,IT004.O120,3,*,6,6,9,1,2023-09-04,2023-12-28,B5.10,,LT,
2023_2024_1,IT004,IT004.O16,3,*,3,1,4,1,2023-09-04,2023-12-28,B5.12,,LT,
2023_2024_1,IT004,IT004.O12,3,*,2,1,4,1,2023-09-04,2023-12-28,B5.14,,LT,
2023_2024_1,IT004,IT004.O11.CTTN,3,*,4,6,9,1,2023-09-04,2023-11-23,B6.02,,LT,
2023_2024_1,IT004,IT004.O13,3,*,2,1,4,1,2023-09-04,2023-12-28,B6.06,,LT,
2023_2024_1,IT004,IT004.O111,3,*,4,1,4,1,2023-09-04,2023-12-28,B6.08,,LT,
2023_2024_1,IT004,IT004.O113,3,*,4,6,9,1,2023-09-04,2023-12-28,B6.08,,LT,
2023_2024_1,IT004,IT004.O14,3,*,2,6,9,1,2023-09-04,2023-12-28,B6.12,,LT,
2023_2024_1,IT004,IT004.O117,3,*,5,6,9,1,2023-09-04,2023-12-28,B7.04,,LT,
2023_2024_1,IT004,IT004.O114,3,*,5,1,4,1,2023-09-04,2023-12-28,B7.06,,LT,
2023_2024_1,IT004,IT004.O116,3,*,5,6,9,1,2023-09-04,2023-12-28,B7.06,,LT,
2023_2024_1,IT004,IT004.O118,3,*,6,1,4,1,2023-09-04,2023-12-28,B7.06,,LT,
2023_2024_1,IT004,IT004.O11.CNVN,3,*,3,6,9,1,2023-09-04,2023-11-23,C309,,LT,
2023_2024_1,IT004,IT004.O12.CNVN,3,*,5,2,5,1,2023-09-04,2023-11-23,C309,,LT,
2023_2024_1,IT005,IT005.O11.CLC,3,*,4,1,3,1,2023-09-04,2023-11-23,B1.10,,LT,
2023_2024_1,IT005,IT005.O115,3,*,5,1,3,1,2023-09-04,2023-12-28,B3.22,,LT,
2023_2024_1,IT005,IT005.O119,3,*,6,1,3,1,2023-09-04,2023-12-28,B3.22,,LT,
2023_2024_1,IT005,IT005.O15,3,*,2,6,8,1,2023-09-04,2023-12-28,B3.22,,LT,
2023_2024_1,IT005,IT005.O117,3,*,5,6,8,1,2023-09-04,2023-12-28,B5.10,,LT,
2023_2024_1,IT005,IT005.O118,3,*,5,6,8,1,2023-09-04,2023-12-28,B5.12,,LT,
2023_2024_1,IT005,IT005.O18,3,*,3,6,8,1,2023-09-04,2023-12-28,B5.12,,LT,
2023_2024_1,IT005,IT005.O116,3,*,5,1,3,1,2023-09-04,2023-12-28,B6.08,,LT,
2023_2024_1,IT005,IT005.O19,3,*,3,6,8,1,2023-09-04,2023-12-28,B6.08,,LT,
2023_2024_1,IT005,IT005.O110,3,*,4,1,3,1,2023-09-04,2023-12-28,B6.10,,LT,
2023_2024_1,IT005,IT005.O112,3,*,4,6,8,1,2023-09-04,2023-12-28,B6.10,,LT,
2023_2024_1,IT005,IT005.O13,3,*,2,1,3,1,2023-09-04,2023-12-28,B6.10,,LT,
2023_2024_1,IT005,IT005.O14,3,*,2,6,8,1,2023-09-04,2023-12-28,B6.10,,LT,
2023_2024_1,IT005,IT005.O16,3,*,3,1,3,1,2023-09-04,2023-12-28,B6.10,,LT,
2023_2024_1,IT005,IT005.O111,3,*,4,1,3,1,2023-09-04,2023-12-28,B7.04,,LT,
2023_2024_1,IT005,IT005.O114,3,*,4,6,8,1,2023-09-04,2023-12-28,B7.04,,LT,
2023_2024_1,IT005,IT005.O17,3,*,3,1,3,1,2023-09-04,2023-12-28,B7.04,,LT,
2023_2024_1,IT005,IT005.O113,3,*,4,6,8,1,2023-09-04,2023-12-28,B7.06,,LT,
2023_2024_1,IT005,IT005.O11.CNVN,3,*,5,1,3,1,2023-09-04,2023-12-28,C311,,LT,
2023_2024_1,IT005,IT005.O12.CNVN,3,*,6,6,8,1,2023-09-04,2023-12-28,C311,,LT,
2023_2024_1,IT005,IT005.O12,3,*,2,1,3,1,2023-09-04,2023-12-28,C314,,LT,
2023_2024_1,IT006,IT006.O12,3,*,3,6,9,1,2023-09-04,2023-12-28,B6.10,,LT,
2023_2024_1,IT006,IT006.O13,3,*,4,1,4,1,2023-09-04,2023-12-28,B7.06,,LT,
2023_2024_1,IT006,IT006.O11.CLC,3,*,3,6,8,1,2023-09-04,2023-12-28,C216,,LT,
2023_2024_1,IT006,IT006.O11,3,*,3,1,4,1,2023-09-04,2023-12-28,C309,,LT,
2023_2024_1,IT006,IT006.O14,3,*,4,6,9,1,2023-09-04,2023-12-28,C311,,LT,
2023_2024_1,IT007,IT007.O11.CTTN,3,*,5,6,9,1,2023-09-04,2023-11-23,B6.02,,LT,
2023_2024_1,IT007,IT007.O110,3,*,5,6,9,1,2023-09-04,2023-12-28,B6.08,,LT,
2023_2024_1,IT007,IT007.O15,3,*,6,1,4,1,2023-09-04,2023-12-28,B6.10,,LT,
2023_2024_1,IT007,IT007.O17,3,*,6,6,9,1,2023-09-04,2023-12-28,B6.10,,LT,
2023_2024_1,IT007,IT007.O19,3,*,5,1,4,1,2023-09-04,2023-12-28,B6.10,,LT,
2023_2024_1,IT007,IT007.O13,3,*,2,6,9,1,2023-09-04,2023-12-28,B7.04,,LT,
2023_2024_1,IT007,IT007.O16,3,*,6,1,4,1,2023-09-04,2023-12-28,B7.04,,LT,
2023_2024_1,IT007,IT007.O18,3,*,6,6,9,1,2023-09-04,2023-12-28,B7.04,,LT,
2023_2024_1,IT007,IT007.O14,3,*,2,6,9,1,2023-09-04,2023-12-28,B7.06,,LT,
2023_2024_1,IT007,IT007.O12,3,*,2,1,4,1,2023-09-04,2023-12-28,C309,,LT,
2023_2024_1,IT007,IT007.O11.CLC,3,*,3,1,3,1,2023-09-04,2023-12-28,C310,,LT,
2023_2024_1,IT007,IT007.O11,3,*,2,1,4,1,2023-09-04,2023-12-28,C311,,LT,
2023_2024_1,IT012,IT012.O15,3,*,4,6,9,1,2023-09-04,2023-12-28,B4.14,,LT,
2023_2024_1,IT012,IT012.O12,3,*,6,1,4,1,2023-09-09,2024-01-04,B5.10,,LT,
2023_2024_1,IT012,IT012.O14,3,*,4,1,4,1,2023-09-04,2023-12-28,B5.10,,LT,
2023_2024_1,IT012,IT012.O13,3,*,6,6,9,1,2023-09-09,2024-01-04,B5.12,,LT,
2023_2024_1,IT012,IT012.O11,3,*,6,6,9,1,2023-09-09,2024-01-04,B6.08,,LT,
2023_2024_1,IT012,IT012.O12.CNVN,3,*,3,2,5,1,2023-09-04,2023-11-23,C305,,LT,
2023_2024_1,IT012,IT012.O11.CNVN,3,*,6,2,5,1,2023-09-04,2023-11-23,C309,,LT,
2023_2024_1,MA003,MA003.O122,3,*,2,1,4,1,2023-09-09,2024-01-04,B3.16,,LT,
2023_2024_1,MA003,MA003.O124,3,*,2,6,9,1,2023-09-09,2024-01-04,B3.16,,LT,
2023_2024_1,MA003,MA003.O13,3,*,3,6,9,1,2023-09-09,2024-01-04,B3.16,,LT,
2023_2024_1,MA003,MA003.O11,3,*,3,1,4,1,2023-09-09,2024-01-04,B3.18,,LT,
2023_2024_1,MA003,MA003.O115,3,*,5,6,9,1,2023-09-09,2024-01-04,B3.18,,LT,
2023_2024_1,MA003,MA003.O123,3,*,2,1,4,1,2023-09-09,2024-01-04,B3.18,,LT,
2023_2024_1,MA003,MA003.O125,3,*,2,6,9,1,2023-09-09,2024-01-04,B3.18,,LT,
2023_2024_1,MA003,MA003.O14,3,*,3,6,9,1,2023-09-09,2024-01-04,B3.18,,LT,
2023_2024_1,MA003,MA003.O111,3,*,5,6,9,1,2023-09-09,2024-01-04,B3.20,,LT,
2023_2024_1,MA003,MA003.O119,3,*,6,1,4,1,2023-09-09,2024-01-04,B3.20,,LT,
2023_2024_1,MA003,MA003.O12,3,*,3,1,4,1,2023-09-09,2024-01-04,B3.20,,LT,
2023_2024_1,MA003,MA003.O121,3,*,6,6,9,1,2023-09-09,2024-01-04,B3.20,,LT,
2023_2024_1,MA003,MA003.O117,3,*,6,6,9,1,2023-09-09,2024-01-04,B4.16,,LT,
2023_2024_1,MA003,MA003.O120,3,*,6,1,4,1,2023-09-09,2024-01-04,B4.16,,LT,
2023_2024_1,MA003,MA003.O113,3,*,5,1,4,1,2023-09-09,2024-01-04,B4.18,,LT,
2023_2024_1,MA003,MA003.O116,3,*,6,1,4,1,2023-09-09,2024-01-04,B4.18,,LT,
2023_2024_1,MA003,MA003.O118,3,*,6,6,9,1,2023-09-09,2024-01-04,B4.18,,LT,
2023_2024_1,MA003,MA003.O17,3,*,4,6,9,1,2023-09-09,2024-01-04,B4.18,,LT,
2023_2024_1,MA003,MA003.O114,3,*,5,1,4,1,2023-09-09,2024-01-04,B4.20,,LT,
2023_2024_1,MA003,MA003.O18,3,*,4,6,9,1,2023-09-09,2024-01-04,B4.20,,LT,
2023_2024_1,MA003,MA003.O15,3,*,4,1,4,1,2023-09-09,2024-01-04,B4.22,,LT,
2023_2024_1,MA003,MA003.O19,3,*,4,6,9,1,2023-09-09,2024-01-04,B4.22,,LT,
2023_2024_1,MA003,MA003.O110,3,*,5,1,4,1,2023-09-09,2024-01-04,B5.12,,LT,
2023_2024_1,MA003,MA003.O16,3,*,4,6,9,1,2023-09-09,2024-01-04,B5.12,,LT,
2023_2024_1,MA003,MA003.O11.CTTN,3,*,6,6,9,1,2023-09-09,2023-12-28,B6.02,,LT,
2023_2024_1,MA003,MA003.O112,3,*,5,1,4,1,2023-09-09,2024-01-04,B7.04,,LT,
2023_2024_1,MA003,MA003.O12.CNVN,3,*,6,6,9,1,2023-09-09,2023-12-28,C309,,LT,
2023_2024_1,MA003,MA003.O11.CNVN,3,*,3,6,9,1,2023-09-09,2023-12-28,C311,,LT,
2023_2024_1,MA003,MA003.O11.CLC,3,*,2,1,4,1,2023-09-04,2023-11-23,E10.1,,LT,
2023_2024_1,MA004,MA004.O11.CLC,4,*,3,6,9,1,2023-09-04,2023-12-28,B1.16,,LT,
2023_2024_1,MA004,MA004.O12,4,*,2,6,9,1,2023-09-04,2023-12-28,B6.08,,LT,
2023_2024_1,MA004,MA004.O13,4,*,3,6,9,1,2023-09-04,2023-12-28,B7.04,,LT,
2023_2024_1,MA004,MA004.O11,4,*,2,1,4,1,2023-09-04,2023-12-28,B7.08,,LT,
2023_2024_1,MA004,MA004.O11.CNVN,4,*,4,1,4,1,2023-09-04,2023-12-28,C305,,LT,
2023_2024_1,MA004,MA004.O12.CNVN,4,*,4,6,9,1,2023-09-04,2023-12-28,C305,,LT,
2023_2024_1,MA005,MA005.O12,3,*,6,1,4,1,2023-09-04,2023-12-28,B5.12,,LT,
2023_2024_1,MA005,MA005.O11,3,*,3,1,4,1,2023-09-04,2023-12-28,B7.06,,LT,
2023_2024_1,MA005,MA005.O13,3,*,6,6,9,1,2023-09-04,2023-12-28,B7.06,,LT,
2023_2024_1,MA005,MA005.O11.CLC,3,*,4,6,9,1,2023-09-04,2023-11-23,C101,,LT,
2023_2024_1,MA006,MA006.O16,4,*,5,1,5,1,2023-09-09,2024-01-04,B1.22,,LT,
2023_2024_1,MA006,MA006.O122,4,*,4,1,5,1,2023-09-09,2024-01-04,B3.16,,LT,
2023_2024_1,MA006,MA006.O124,4,*,4,6,0,1,2023-09-09,2024-01-04,B3.16,,LT,
2023_2024_1,MA006,MA006.O110,4,*,7,1,5,1,2023-09-09,2024-01-04,B3.18,,LT,
2023_2024_1,MA006,MA006.O123,4,*,4,1,5,1,2023-09-09,2024-01-04,B3.18,,LT,
2023_2024_1,MA006,MA006.O125,4,*,4,6,0,1,2023-09-09,2024-01-04,B3.18,,LT,
2023_2024_1,MA006,MA006.O19,4,*,7,6,0,1,2023-09-09,2024-01-04,B3.18,,LT,
2023_2024_1,MA006,MA006.O111,4,*,7,6,0,1,2023-09-09,2024-01-04,B3.20,,LT,
2023_2024_1,MA006,MA006.O113,4,*,3,6,0,1,2023-09-09,2024-01-04,B3.20,,LT,
2023_2024_1,MA006,MA006.O119,4,*,2,1,5,1,2023-09-09,2024-01-04,B3.20,,LT,
2023_2024_1,MA006,MA006.O120,4,*,2,6,0,1,2023-09-09,2024-01-04,B3.20,,LT,
2023_2024_1,MA006,MA006.O112,4,*,7,6,0,1,2023-09-09,2024-01-04,B4.16,,LT,
2023_2024_1,MA006,MA006.O114,4,*,3,1,5,1,2023-09-09,2024-01-04,B4.16,,LT,
2023_2024_1,MA006,MA006.O116,4,*,2,1,5,1,2023-09-09,2024-01-04,B4.16,,LT,
2023_2024_1,MA006,MA006.O121,4,*,2,6,0,1,2023-09-09,2024-01-04,B4.16,,LT,
2023_2024_1,MA006,MA006.O15,4,*,5,6,0,1,2023-09-09,2024-01-04,B4.16,,LT,
2023_2024_1,MA006,MA006.O115,4,*,3,1,5,1,2023-09-09,2024-01-04,B4.18,,LT,
2023_2024_1,MA006,MA006.O117,4,*,2,6,0,1,2023-09-09,2024-01-04,B4.18,,LT,
2023_2024_1,MA006,MA006.O118,4,*,2,1,5,1,2023-09-09,2024-01-04,B4.18,,LT,
2023_2024_1,MA006,MA006.O11,4,*,6,1,5,1,2023-09-09,2024-01-04,B4.20,,LT,
2023_2024_1,MA006,MA006.O13,4,*,6,6,0,1,2023-09-09,2024-01-04,B4.20,,LT,
2023_2024_1,MA006,MA006.O12,4,*,6,1,5,1,2023-09-09,2024-01-04,B4.22,,LT,
2023_2024_1,MA006,MA006.O14,4,*,6,6,0,1,2023-09-09,2024-01-04,B4.22,,LT,
2023_2024_1,MA006,MA006.O17,4,*,5,1,5,1,2023-09-09,2024-01-04,B4.22,,LT,
2023_2024_1,MA006,MA006.O18,4,*,5,1,5,1,2023-09-09,2024-01-04,B5.10,,LT,
2023_2024_1,MA006,MA006.O11.CNVN,4,*,4,6,0,1,2023-09-09,2024-01-04,C314,,LT,
2023_2024_1,MA006,MA006.O12.CNVN,4,*,3,1,5,1,2023-09-09,2024-01-04,C314,,LT,
2023_2024_1,MA006,MA006.O11.CLC,4,*,5,1,4,1,2023-09-04,2023-12-28,E34,,LT,
2023_2024_1,SS003,SS003.O11,2,*,2,1,2,1,2023-09-04,2023-12-28,B1.14,,LT,
2023_2024_1,SS003,SS003.O12,2,*,2,4,5,1,2023-09-04,2023-12-28,B1.14,,LT,
2023_2024_1,SS003,SS003.O15,2,*,2,6,7,1,2023-09-04,2023-12-28,B1.14,,LT,
2023_2024_1,SS003,SS003.O16,2,*,2,8,9,1,2023-09-04,2023-12-28,B1.14,,LT,
2023_2024_1,SS003,SS003.O13,2,*,2,1,2,1,2023-09-04,2023-12-28,B3.14,,LT,
2023_2024_1,SS003,SS003.O14,2,*,2,4,5,1,2023-09-04,2023-12-28,B3.14,,LT,
